StudentID,StudentName,Descr,Subject,Pat,Mtg Start,Mtg End
062264a,Joseph Garner,INTRODUCTORY MECHANICS,PHYSICS,WF,1:25:00 PM,2:40:00 PM
062264a,Joseph Garner,ACADEMIC WRITING,WRITING,WF,3:05:00 PM,4:20:00 PM
062264a,Joseph Garner,MATRICES AND VECTORS,MATH,TTH,10:05:00 AM,11:20:00 AM
062264a,Joseph Garner,INTRO TO SIGNALS AND SYSTEMS,ECE,F,10:05:00 AM,12:55:00 PM
062264a,Joseph Garner,ADV TOPICS IN DEEP LEARNING,ECE,MW,11:45:00 AM,1:00:00 PM
062264a,Joseph Garner,INTRODUCTORY MECHANICS,PHYSICS,M,1:30:00 PM,3:30:00 PM
062264a,Joseph Garner,INTRODUCTORY MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
062264a,Joseph Garner,HOUSE COURSE (SP TOP),HOUSECS,M,5:15:00 PM,6:45:00 PM
74b05b7,Vanessa Thompson,INTERMEDIATE MECHANICS,PHYSICS,WF,10:05:00 AM,11:20:00 AM
74b05b7,Vanessa Thompson,INTRO EXPERIMENTAL PHYSICS I,PHYSICS,T,3:45:00 PM,5:45:00 PM
74b05b7,Vanessa Thompson,INTERMEDIATE MECHANICS,PHYSICS,T,1:30:00 PM,3:30:00 PM
74b05b7,Vanessa Thompson,MECHANICS OF SOLIDS,EGR,MW,8:30:00 AM,9:45:00 AM
74b05b7,Vanessa Thompson,MECHANICS OF SOLIDS,EGR,T,10:05:00 AM,11:20:00 AM
74b05b7,Vanessa Thompson,ENGINEERING INNOVATION,EGR,MF,3:05:00 PM,4:20:00 PM
74b05b7,Vanessa Thompson,ENGINEERING INNOVATION,EGR,W,3:05:00 PM,4:20:00 PM
74b05b7,Vanessa Thompson,FINANCIAL ACCOUNTING,ECON,MWF,11:45:00 AM,1:00:00 PM
74b05b7,Vanessa Thompson,FINANCIAL ACCOUNTING,ECON,T,8:45:00 AM,9:35:00 AM
74b05b7,Vanessa Thompson,REAL ANALYSIS I,MATH,MW,1:40:00 PM,2:30:00 PM
